Topic 1: regard, newspaper, apply, collection, wing, military, government, concerned, edge, critical, death, traffic, telephone, victim, open, controller, speak, view, reply, block
Topic 2: situation, gear, people, discuss, heavy, type, soldier, direction, essentially, store, continue, writing, familiar, failure, system, beginning, measure, interesting, camera, task
Topic 3: compatible, determine, question, driver, claim, execute, level, archive, keyboard, fellow, report, produce, radio, pre, benefit, difficult, middle, mechanism, arise, solution
Topic 4: sex, enforcement, agent, nature, constitution, launch, direct, lead, resolution, abuse, full, easily, host, key, movement, strategy, profit, president, fire, kill
Topic 5: regular, define, fundamental, statistic, category, team, worship, wall, share, plastic, processing, kid, industry, differ, die, publish, drug, care, pick, pop
Topic 6: contrary, leader, threaten, class, eternal, search, knock, dead, doctrine, rely, struggle, advance, subject, mass, pointer, byte, brand, opposite, backup, expert
Topic 7: follower, summary, bit, population, earlier, requirement, patch, interpret, mix, car, disease, load, speech, natural, straight, remove, late, member, plane, hook
Topic 8: widget, motor, attach, survey, today, ignore, represent, branch, forward, shape, massacre, quit, model, stable, voltage, author, surprise, fully, object, sentence
Topic 9: setup, decade, suppose, gun, dry, instruction, manager, agree, chance, liberty, picture, sense, armed, platform, atheist, sun, safety, finish, teaching, sale
Topic 10: weapon, surprised, update, remain, customer, save, origin, control, pack, raise, universe, learn, spare, talk, medical, fuel, ranger, forget, vga, estimate
Topic 11: didn, private, demand, history, content, warn, chemical, violence, worry, argument, wouldn, split, storage, color, commercial, major, modem, internet, insurance, national
Topic 12: root, man, father, gay, mouse, debate, career, size, sit, solid, spring, associate, effective, explanation, justify, reader, demonstrate, anymore, chip, test
Topic 13: follow, tire, action, biblical, sell, method, slightly, feature, face, scale, basically, assumption, grant, scientist, troop, address, happy, curious, young, conversion
Topic 14: network, sexual, file, patient, eventually, cycle, happen, head, world, person, attack, strike, worth, charge, consideration, hope, engine, building, deliver, production
Topic 15: clue, instal, motherboard, mile, improve, download, homosexual, feel, inside, form, challenge, opinion, hurt, cover, business, joke, fault, typical, valid, interested
Topic 16: organize, cop, dozen, fly, destroy, examine, totally, cpu, spend, eat, neighbor, state, taxis, expose, medicine, vary, unknown, correct, knowledge, quick
Topic 17: town, build, command, story, cult, plenty, early, hand, location, interview, interpretation, reliable, responsible, condition, rock, draw, successful, choice, god, paragraph
Topic 18: excuse, relation, common, luck, accident, faq, trouble, equipment, orbit, burn, hell, difference, space, doubt, printer, convince, express, impact, change, rear
Topic 19: tool, material, son, harm, part, stuff, join, original, button, unit, attempt, site, prevent, label, average, art, related, thousand, sport, adult
Topic 20: protection, announcement, wind, money, month, write, desire, ride, sleep, kit, license, correctly, settle, suddenly, gas, refuse, price, step, return, center
