Topic 1: develop, combine, create, add, establish, implement, build, enable, deliver, promote, encourage, manage, instal, render, extend, remove, eliminate, grow, install, organize
Topic 2: western, region, area, city, nation, north, town, local, village, land, state, world, border, international, social, national, society, territory, community, party
Topic 3: box, inside, side, front, wall, circle, arm, seat, hand, leg, finger, corner, pack, slot, table, door, eye, bag, line, window
Topic 4: familiar, basically, simply, supposedly, sort, essentially, virtually, kind, fun, powerful, strange, completely, totally, bit, lot, important, great, interesting, honest, decent
Topic 5: page, summary, copy, message, letter, article, information, paper, read, print, document, note, sheet, reading, interview, statement, reader, writing, quote, info
Topic 6: perspective, behavior, view, attitude, approach, background, technique, context, philosophy, vision, theory, experience, method, concept, activity, thread, mechanism, style, interpretation, depth
Topic 7: time, day, hour, decade, century, night, weekend, year, week, spring, today, morning, ago, earlier, previous, recent, yesterday, couple, numerous, summer
Topic 8: controller, device, configuration, disk, workstation, computer, hardware, electronic, machine, printer, modem, shareware, button, spec, encrypt, chip, digital, software, encryption, server
Topic 9: concern, interest, question, matter, possibility, attention, doubt, danger, issue, fear, potential, threat, hint, difficulty, clue, trouble, desire, problem, failure, topic
Topic 10: show, recognize, demonstrate, confirm, understand, inform, suggest, reveal, explain, assume, cite, imply, predict, express, learn, expect, examine, realize, justify, insist
Topic 11: arrest, assault, incident, terrorist, guilty, murder, death, civil, criminal, sentence, police, massacre, armed, attack, court, bomb, enforcement, war, conflict, warrant
Topic 12: christianity, christian, catholic, religion, atheist, atheism, homosexuality, biblical, religious, scripture, morality, jewish, holy, gospel, cult, muslim, arab, church, israeli, soviet
Topic 13: push, ram, hang, turn, pull, roll, grab, crack, catch, move, stick, put, shut, break, lock, hold, drive, knock, drag, tear
Topic 14: mother, parent, brother, baby, son, friend, wife, father, dog, child, disease, age, animal, treatment, hospital, medicine, patient, doctor, adult, health
Topic 15: plan, proposal, aid, measure, amendment, passage, rule, bill, agreement, budget, constitution, pay, grant, fee, resolution, package, tax, deal, law, accord
Topic 16: temperature, dry, ice, heat, sun, water, hot, cool, cold, wind, solar, moon, energy, drink, green, eat, surface, sleep, dark, food
Topic 17: lead, tie, match, mark, play, ball, beat, place, fourth, bat, game, point, pitcher, pitch, plate, straight, team, title, playoff, record
Topic 18: chain, shop, dealer, company, store, station, taxis, manufacturer, train, plane, commercial, business, terminal, pub, market, shipping, auto, car, vehicle, production
Topic 19: manager, speaker, vice, associate, president, engineer, official, representative, head, expert, education, department, staff, teaching, panel, technical, board, engineering, group, instruction
Topic 20: special, average, actual, percentage, total, similar, equal, direct, extra, stat, additional, percent, million, maximum, minimum, identical, rate, statistic, frequently, primarily
