Topic 1: compuserve, datum, fax, encrypt, faq, compress, mailing, configure, wiretap, mailer, comm, mail, email, internet, clipper, workstation, comp, summarize, delete, online
Topic 2: pure, simple, ideal, rich, excellent, high, good, rare, suitable, significant, acceptable, perfect, extreme, appropriate, low, hard, negative, sufficient, wide, plain
Topic 3: foundation, organization, worker, employer, employee, bureau, lab, enterprise, department, owner, institute, laboratory, engineer, operator, sector, centre, association, labs, service, base
Topic 4: explain, show, tell, ask, check, indication, understand, mention, trust, refer, inform, promise, examine, describe, warning, prediction, cite, interpret, believe, discuss
Topic 5: reserve, canadian, canada, australia, maple, indiana, london, stanley, finland, ontario, cleveland, rochester, victoria, zealand, ohio, toronto, ottawa, montreal, british, edmonton
Topic 6: thing, finally, future, later, not, recent, forever, no, modern, sometime, eventually, anymore, currently, strongly, recently, now, past, current, basically, merely
Topic 7: soviet, state, turkish, russian, greek, turkey, armenian, russia, armenia, bosnia, national, local, city, turk, jews, jewish, hebrew, palestine, kingdom, palestinian
Topic 8: don, bill, mark, sam, ken, nick, kenneth, pat, jerry, jan, christopher, john, tom, magnus, tommy, edward, charles, william, chris, phil
Topic 9: machine, hardware, suite, package, program, computer, software, processor, code, remote, portable, system, kit, chip, programming, tool, platform, cpu, computing, menu
Topic 10: tank, auto, car, engine, tire, pilot, motor, vehicle, plane, jet, seat, rock, earth, stone, rocket, universe, ford, honda, truck, star
Topic 11: trouble, upset, desire, problem, concern, interest, request, wish, demand, chance, difficulty, interested, possibility, happy, hurt, require, worried, decision, sad, proud
Topic 12: pass, wear, wake, go, put, lay, spend, use, from, take, stand, carry, turn, bring, sit, hold, charge, leave, follow, feed
Topic 13: time, day, month, night, evening, year, morning, decade, hour, week, minute, moment, period, point, century, date, generation, area, direction, zone
Topic 14: humanity, human, citizen, party, person, individual, social, people, society, spiritual, partner, fellow, husband, cult, resident, friend, lady, son, faith, family
Topic 15: subject, pro, host, guest, sun, con, stat, pre, meg, astro, statistic, tin, apollo, sub, dept, saturn, doc, sec, vice, gov
Topic 16: poster, text, translation, frame, file, reading, format, language, dictionary, byte, picture, sequence, filter, stream, list, writing, directory, font, box, pixel
Topic 17: mhz, pub, fm, eng, acc, hp, ti, wi, po, va, se, wa, na, fr, pa, ca, med, cu, cal, ka
Topic 18: play, goal, die, game, player, champion, sport, coach, score, kill, bomb, league, winner, goalie, death, hitter, nose, baseball, win, runner
Topic 19: usage, context, form, trend, condition, status, quality, shape, pattern, position, type, rank, interpretation, rating, scale, list, result, expression, name, content
Topic 20: part, front, back, much, few, couple, long, bottom, top, many, several, whole, far, double, full, ahead, quarter, half, single, upper
