Topic 1: datum, xterm, compress, faq, compuserve, comm, email, widget, fax, motherboard, newsreader, login, netter, comp, bitmap, internet, gif, wiretap, modem, net
Topic 2: scale, trend, behaviour, attitude, shape, rate, level, behavior, type, approach, experience, factor, form, behave, status, height, number, structure, style, position
Topic 3: basically, strictly, specifically, primarily, generally, highly, normally, personally, widely, greatly, real, largely, commonly, typically, specific, fully, particular, mainly, explicitly, general
Topic 4: russian, russia, armenia, armenian, turk, greek, soviet, bosnia, europe, german, european, japanese, french, turkish, hebrew, jerusalem, jews, israelis, israeli, palestinian
Topic 5: trouble, mistake, problem, difficulty, confusion, bullet, death, target, dead, offense, injury, murder, suicide, offensive, damage, enemy, pain, conflict, contradiction, shot
Topic 6: header, chip, viewer, board, code, panel, tool, kit, module, manual, suite, format, screen, file, summary, window, reading, document, motif, machine
Topic 7: time, day, week, year, month, period, moment, decade, morning, date, league, season, team, place, coach, evening, night, goalie, skin, minute
Topic 8: go, take, from, leave, make, move, give, come, bring, put, become, lean, pull, bear, hang, hold, sit, lay, draw, start
Topic 9: church, state, gospel, mormon, foreign, scripture, global, country, biblical, christian, faith, testament, bible, prophet, religious, national, christians, temple, orthodox, religion
Topic 10: twice, early, full, soon, recently, tomorrow, late, whole, initial, far, first, entire, recent, many, part, last, today, yesterday, half, again
Topic 11: discuss, promise, consider, consult, guess, suspect, hope, wonder, doubt, warn, honor, bet, know, guarantee, expect, regard, tell, assure, understand, feel
Topic 12: driver, drive, tank, motor, engine, seat, truck, gear, bus, tire, wheel, car, rocket, rear, turbo, planet, auto, flight, clutch, vehicle
Topic 13: don, bill, mark, sun, chris, jimmy, nasa, tom, sam, phil, saturn, tim, rick, jim, kenneth, nick, richard, rob, dave, chuck
Topic 14: spend, waste, trace, use, supply, pay, work, share, return, load, distribution, sink, hire, trade, buy, leave, shock, charge, path, rent
Topic 15: good, weak, high, soft, tough, significant, excellent, hard, strong, simple, honest, powerful, solid, smooth, nice, efficient, complex, plain, fair, false
Topic 16: party, person, people, man, individual, neighbor, partner, family, member, brother, father, group, son, parent, male, society, boy, friend, leader, female
Topic 17: subject, host, mhz, doc, con, pro, pub, meg, fm, stat, vice, statistic, guest, pre, spec, sub, gov, sec, micro, inc
Topic 18: derive, constitute, organize, describe, incorporate, gather, introduce, represent, deliver, surround, enhance, consist, pose, explain, adopt, receive, interpret, serve, include, mention
Topic 19: bureau, foundation, nsa, fbi, laboratory, operator, lab, source, sector, employer, vendor, owner, enterprise, base, department, manufacturer, organization, employee, facility, user
Topic 20: thing, stuff, due, mine, yours, such, you, so, my, also, something, either, instead, her, there, necessarily, xpert, xt, xterm, xv
