Topic 1: directory, happen, part, child, exe, phone, lead, chip, treatment, close, negative, device, population, type, regular, very, mormon, release, ignore, phrase
Topic 2: hr, gain, hatred, turkish, configure, macintosh, psuvm, surface, check, cut, wild, quiet, hey, citizen, panix, gt, meeting, follow, marc, pm
Topic 3: car, book, plenty, humanity, basically, political, server, travel, reasoning, perform, hard, view, slaughter, audio, team, occur, terminal, delete, since, black
Topic 4: thing, window, question, word, live, bit, wustl, x, xpert, xt, xterm, xv, xxdate, y, wound, wow, wpd, wright, write, writer
Topic 5: pasadena, adapter, group, sentence, useless, variable, whole, pp, south, social, joke, list, paper, insert, anywhere, administration, review, game, behave, news
Topic 6: message, user, program, however, glad, conflict, ot, country, info, nice, stuff, application, similar, number, face, execute, circuit, military, cross, record
Topic 7: perhaps, traffic, cis, bitnet, good, someone, attempt, subject, delay, war, bring, hand, effect, win, set, wrong, base, angeles, package, encrypt
Topic 8: make, year, system, run, start, hear, bad, change, today, x, xpert, xt, xterm, xv, xxdate, y, ya, wow, wpd, wright
Topic 9: compute, exist, serious, spend, solid, datum, andrew, chicago, ga, indication, kill, site, total, complaint, enforcement, connect, court, h, prb, flow
Topic 10: find, suppose, post, invade, state, main, copy, color, critical, voice, future, who, religion, money, newsgroup, cdt, importance, nine, setup, screen
Topic 11: back, don, visit, design, dartmouth, pull, pb, man, worth, couple, sunday, dead, build, senator, identify, no, public, report, hour, buy
Topic 12: time, work, file, give, mail, disk, feel, add, material, continue, need, israeli, former, tie, award, wustl, x, xpert, xt, xterm
Topic 13: general, crack, price, hold, park, leader, somewhere, push, uoknor, version, electric, testament, reason, helpful, assume, converter, pitt, bias, press, postscript
Topic 14: introduce, hall, belief, software, else, central, together, tough, ass, minute, recently, wisc, lehigh, cap, chemical, english, age, distribute, walker, attack
Topic 15: information, reference, culture, encryption, discussion, sony, apparently, talk, popular, te, job, patrick, accident, choose, pro, line, everybody, die, raid, though
Topic 16: speak, todd, ability, deliver, lately, republic, space, usenet, watch, surprise, worker, pass, truth, resident, spencer, sky, factory, july, touch, rating
Topic 17: case, adult, read, note, walk, road, issue, management, historical, monash, big, temporary, think, silly, performance, equipment, relative, criterion, conner, great
Topic 18: return, show, fact, standard, claim, hot, minor, kind, free, move, size, result, comment, depend, religious, guess, teacher, trial, disable, muslim
Topic 19: call, response, include, point, send, hair, disease, write, morris, tuesday, low, exclude, box, law, proof, control, ny, stupid, chance, consistent
Topic 20: people, problem, day, place, wustl, x, xpert, xt, xterm, xv, xxdate, y, wound, wow, wpd, wright, write, writer, writing, wrong
