Topic 1: datum, mhz, vms, sgi, ati, scsi, gif, vga, info, sparc, sony, linux, cpu, freenet, ip, faq, org, ascii, motorola, edu
Topic 2: promise, wish, hopefully, problem, need, able, ready, ability, prefer, feeling, trouble, willing, sure, challenge, deserve, attempt, difficulty, mind, feel, expect
Topic 3: consideration, recommendation, request, input, application, motion, decision, objection, distinction, law, constitution, significance, rule, requirement, honor, award, resolution, agenda, argument, proposal
Topic 4: surface, color, dark, white, space, green, red, aurora, bright, planetary, black, moon, astro, paint, astronomy, smoke, galaxy, brown, sun, fire
Topic 5: russian, russia, turkish, soviet, armenian, muslim, jews, muslims, jewish, british, american, israel, israeli, arab, palestinian, jerusalem, european, palestinians, arabs, palestine
Topic 6: rank, number, upon, during, prior, overall, beyond, within, after, before, maximum, plus, above, minimum, below, list, full, later, rating, equivalent
Topic 7: explain, express, recognize, tell, demonstrate, see, ask, learn, investigate, cite, identify, recall, prove, remember, speak, monitor, observe, examine, justify, discover
Topic 8: street, rear, gate, compound, room, wheel, tire, park, door, house, square, pump, pipe, motor, hall, pub, stream, tube, brake, car
Topic 9: step, return, leave, hang, quit, rush, move, go, turn, drive, put, hold, stay, dominate, arrive, stick, suffer, roll, push, lift
Topic 10: lady, woman, man, victim, witness, girl, child, baby, arrest, son, bomb, mother, father, raid, brother, survivor, soldier, husband, adult, neighbor
Topic 11: node, bandwidth, button, disk, graphics, encryption, video, audio, cell, screen, crypto, graphic, viewer, processor, motherboard, hacker, voltage, camera, stereo, xterm
Topic 12: sharp, smart, good, weak, flat, wise, decent, soft, rational, impressive, logical, solid, neat, rich, big, huge, important, nice, heavy, amazing
Topic 13: ide, btw, imho, alot, imo, rs, ll, mil, sc, wustl, x, xpert, xt, xterm, xv, xxdate, y, wound, wow, wpd
Topic 14: people, guy, personal, kid, personally, someone, anyone, anybody, own, somebody, whoever, else, everybody, everyone, nobody, wustl, x, xpert, xt, xterm
Topic 15: religious, spiritual, religion, gospel, ethnic, moral, morality, prayer, scripture, worship, intellectual, holy, orthodox, saint, temple, biblical, theist, church, soul, atheist
Topic 16: score, play, year, annual, month, day, tie, season, ball, weekend, playoff, netter, match, victory, time, minute, winner, jumper, field, champion
Topic 17: copy, document, article, page, paragraph, note, text, platform, resource, postscript, story, print, read, reading, clone, language, system, phrase, documentation, disclaimer
Topic 18: agency, department, private, bureau, institute, foreign, investor, international, public, professor, corporation, manufacturer, expert, lcs, scientist, bank, staff, global, dean, local
Topic 19: clearly, rather, truly, type, greatly, merely, instead, bit, extent, much, simply, far, little, exactly, precisely, actually, fact, differently, kind, absolutely
Topic 20: invent, give, employ, receive, make, bring, generate, produce, hire, seek, create, earn, develop, provide, translate, render, serve, raise, obtain, convert
