Topic 1: vms, info, datum, sgi, mhz, freenet, cpu, mb, scsi, amiga, vax, vm, ms, usenet, ftp, compuserve, usr, exe, ibm, motorola
Topic 2: recognize, ignore, discover, proof, inform, reveal, find, remind, consult, found, indication, talk, demonstrate, explain, discuss, prove, tell, observe, present, monitor
Topic 3: bureau, scientist, assembly, professor, plant, demand, department, foreign, lcs, company, management, dean, public, manufacturer, factory, agency, expert, private, minister, institute
Topic 4: above, full, below, zero, high, minimum, maximum, number, low, double, list, initial, percentage, within, later, each, beyond, level, next, from
Topic 5: what, clearly, how, way, people, truly, kind, greatly, type, why, something, somewhat, bit, thing, little, exactly, relatively, differently, whatever, absolutely
Topic 6: faq, janet, roger, nh, spencer, murray, brett, roy, kevin, kent, josh, allen, clayton, george, matt, douglas, sg, bryan, ufl, santa
Topic 7: reading, read, write, mcgill, story, writing, article, reader, dictionary, postscript, document, book, disclaimer, motion, publish, quote, note, chapter, journal, reform
Topic 8: street, mechanical, tube, rear, pipe, propulsion, water, station, solar, valve, tank, shaft, strip, brake, hole, park, door, glass, circuit, filter
Topic 9: move, deliver, make, hold, take, get, send, put, give, lay, lift, go, drive, carry, generate, run, serve, create, burst, turn
Topic 10: major, term, medium, broad, big, significant, large, huge, heavy, small, short, vast, micro, tiny, brief, rich, massive, main, deep, scale
Topic 11: victim, survivor, man, woman, witness, baby, birth, family, boy, girl, mother, old, lady, son, suspect, arrest, criminal, parent, conspiracy, civil
Topic 12: ide, btw, imho, imo, ac, alot, sc, i, ok, hmm, bd, cl, rs, esp, wustl, x, xpert, xt, xterm, xv
Topic 13: interface, workstation, desktop, widget, content, directory, resource, server, database, portal, custom, chip, keyboard, processor, code, algorithm, module, computer, modem, node
Topic 14: score, season, tie, finish, year, lead, annual, time, playoff, month, day, field, spring, ball, game, netter, minute, base, play, week
Topic 15: try, capable, hope, attempt, possibility, wish, promise, risk, want, concern, danger, intend, problem, difficulty, dare, trouble, interest, willing, ready, task
Topic 16: good, poor, decent, great, perfect, impressive, wise, neat, nice, excellent, familiar, solid, wild, wonderful, bad, nasty, plain, hard, ideal, beautiful
Topic 17: health, drug, condition, care, treatment, hospital, patient, medical, medicine, physician, brain, ucsd, finger, ear, nose, arm, cancer, mouth, leg, hand
Topic 18: moral, morality, religion, faith, spiritual, religious, spirit, wisdom, ethnic, holy, prayer, saint, politic, priest, intellect, temple, soul, pray, biblical, attitude
Topic 19: turkish, germany, muslim, islamic, european, russia, muslims, german, arab, japan, europe, russian, christians, christian, british, christianity, mormon, france, armenian, jews
Topic 20: hire, settle, operate, dominate, lose, employ, execute, mount, use, establish, avoid, quit, survive, manage, stop, implement, suffer, resolve, occupy, recover
