Topic 1: datum, rom, vms, vga, usenet, mhz, ca, scsi, ati, ftp, linux, freenet, ascii, meg, cpu, amiga, ibm, sparc, unix, macintosh
Topic 2: marriage, marry, baby, old, mother, wife, son, husband, religion, religious, boy, family, friend, birth, father, brother, man, homosexuality, woman, homosexual
Topic 3: deliver, give, generate, make, derive, provide, develop, translate, produce, render, consist, send, execute, build, involve, serve, include, obtain, convert, bring
Topic 4: post, upon, during, later, late, date, open, close, back, last, ago, prior, next, mid, forward, ahead, after, out, behind, past
Topic 5: soviet, armenian, turkish, muslim, muslims, jewish, islamic, russia, european, christians, islam, jews, germany, british, russian, arab, arabs, palestine, israeli, israel
Topic 6: device, button, processor, workstation, portable, printer, mouse, digital, hardware, default, machine, watt, chip, keyboard, mode, adapter, amp, converter, desktop, disk
Topic 7: smart, intelligent, cheap, rich, wise, impressive, neat, familiar, solid, nntp, major, excellent, bad, sharp, poor, horrible, wonderful, big, prime, significant
Topic 8: rear, street, water, compound, room, convex, park, hole, house, traffic, hall, glass, strip, windows, stone, highway, route, lake, boulder, circuit
Topic 9: hire, rent, pay, work, operate, use, employ, money, fee, cash, fund, escrow, buy, execute, sell, purchase, acquire, price, bond, manage
Topic 10: people, somewhat, little, someone, greatly, bit, somebody, everybody, whoever, everyone, fairly, personally, anyone, truly, lot, very, generally, anybody, naturally, manner
Topic 11: department, agent, agency, bureau, label, public, industrial, factory, private, expert, dealer, national, local, assembly, state, institute, professor, foreign, dean, demand
Topic 12: btw, ide, imho, imo, ok, alot, hey, hmmm, hmm, i, yes, ut, y, er, los, es, te, esp, hello, oh
Topic 13: copy, document, page, article, story, read, sheet, resource, reading, write, writing, text, click, widget, keyword, documentation, login, log, user, database
Topic 14: score, lead, tie, time, play, match, win, game, advantage, field, playoff, season, finish, week, winner, jumper, beat, clutch, pitch, runner
Topic 15: motion, conspiracy, criminal, raid, arrest, proposal, assault, attack, plan, law, legal, plot, package, scene, bomb, suit, civil, constitution, resolution, complaint
Topic 16: express, explain, cite, tell, remind, proclaim, discover, convince, assume, insist, presume, believe, forget, acknowledge, verify, learn, hear, identify, observe, trace
Topic 17: drive, go, push, stop, burst, avoid, hang, move, put, turn, hold, grab, set, stay, shift, steal, break, roll, rush, leave
Topic 18: number, plus, full, maximum, list, level, roughly, minimum, ratio, average, rate, zero, per, equivalent, extra, double, equal, percent, separate, nearly
Topic 19: concern, fear, promise, trouble, problem, difficulty, capable, hope, task, try, worry, attempt, confusion, afraid, worried, wish, feel, interested, feeling, want
Topic 20: view, opinion, justification, respect, consideration, context, implication, interpretation, reasoning, conclusion, analogy, observation, assertion, suggestion, contradiction, excuse, attitude, logic, notion, reason
